id,name,group,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,solubleFiber_g,insolubleFiber_g,starch_g,sugar_g,saturatedFat_g,monounsaturatedFat_g,polyunsaturatedFat_g,transFat_g,cholesterol_mg,omega3_g,ala_mg,epa_mg,dha_mg,omega6_g,la_g,aa_g,histidine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,threonine_g,tryptophan_g,valine_g,arginine_g,alanine_g,asparticAcid_g,glutamicAcid_g,glycine_g,proline_g,serine_g,thiamin_mg,riboflavin_mg,niacin_mg,pantothenicAcid_mg,vitaminB6_mg,vitaminB12_ug,folate_ug,biotin_ug,choline_mg,vitaminA_ug,vitaminC_mg,vitaminD_ug,vitaminE_mg,vitaminK_ug,calcium_mg,copper_mg,iron_mg,magnesium_mg,manganese_mg,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,zinc_mg
169011,"APPLEBEE'S, mozzarella sticks",Restaurant Foods,316.0,14.87,18.37,22.87,2.1,0,0,18.43,2.8,6.73,4.217,4.58,0.363,33.0,0.515,505.0,4.0,0.0,4.045,3.986,0.021,0.505,0.858,1.625,1.201,0.454,0.161,0.878,0.656,0.424,0.202,1.14,0.656,0.525,1.14,3.865,0.373,2.029,0.606,0.073,0.26,0.66,0.41,0.067,0.99,0,0,0,113.0,0,0,0.71,22.2,319.0,0.059,0.43,20.0,0.239,307.0,106.0,17.6,838.0,2.0
170791,"ARBY'S, roast beef sandwich, classic",Fast Foods,242.0,15.17,10.3,22.21,1.3,0,0,17.65,3.84,3.399,3.987,1.762,0.389,30.0,0.165,152.0,5.0,0.0,1.583,1.552,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0.287,4.343,0,0.215,0.96,51.0,0,40.1,0,0,0,0,0,55.0,0.109,2.64,23.0,0.234,200.0,224.0,18.2,653.0,2.27
167782,"Abiyuch, raw",Fruits and Fruit Juices,69.0,1.5,0.1,17.6,5.3,0,0,0,8.55,0.014,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,54.1,0,0,0,8.0,0.057,1.61,24.0,0.182,47.0,304.0,0,20.0,0.31
171687,"Acerola juice, raw",Fruits and Fruit Juices,23.0,0.4,0.3,4.8,0.3,0,0,0,4.5,0.068,0.082,0.09,0.0,0.0,0.0,0,0.0,0.0,0.046,0.046,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.4,0.205,0.004,0.0,14.0,0,0,25.0,1600.0,0,0.18,1.4,10.0,0.086,0.5,12.0,0,9.0,97.0,0.1,3.0,0.1
171686,"Acerola, (west indian cherry), raw",Fruits and Fruit Juices,32.0,0.4,0.3,7.69,1.1,0,0,0,0,0.068,0.082,0.09,0.0,0.0,0.0,0,0.0,0.0,0.046,0.046,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.4,0.309,0.009,0.0,14.0,0,0,38.0,1677.6,0,0,0,12.0,0.086,0.2,18.0,0,11.0,146.0,0.6,7.0,0.1
168061,Acorn stew (Apache),American Indian/Alaska Native Foods,95.0,6.81,3.47,9.22,0.7,0,0,6.57,0.34,1.28,1.68,0.297,0,20.0,0.0,0,0.0,0.0,0.267,0.26,0.0,0.23,0.35,0.62,0.58,0.16,0.09,0.33,0.25,0.36,0.04,0.39,0.47,0.45,0.83,1.51,0.42,0.46,0.33,0.175,0.125,2.14,0.212,0.055,0.68,33.0,0,0,0.0,0.0,0,0.3,0.0,14.0,0.03,1.0,12.0,0.14,62.0,110.0,8.3,130.0,1.6
168992,"Agave, cooked (Southwest)",American Indian/Alaska Native Foods,135.0,0.99,0.29,32.0,10.6,0,0,0.24,20.87,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.099,0.162,0.041,0.087,0.0,3.0,0,8.8,6.0,0.3,0.0,0.36,4.9,460.0,0.112,3.55,39.0,0.142,9.0,59.0,0.2,13.0,0.25
168993,"Agave, dried (Southwest)",American Indian/Alaska Native Foods,341.0,1.71,0.69,81.98,15.6,0,0,0.91,50.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.644,0.87,0.15,0.216,0.0,7.0,0,0,1.0,0.3,0.0,0.76,0.5,770.0,0.189,3.64,207.0,0.337,37.0,767.0,0.6,14.0,12.1
169814,"Agave, raw (Southwest)",American Indian/Alaska Native Foods,68.0,0.52,0.15,16.23,6.6,0,0,0.24,2.58,0,0,0,0,0.0,0,0,0,0,0,0,0,0.008,0.014,0.025,0.028,0.009,0.008,0.019,0.009,0.014,0.008,0.022,0.106,0.024,0.041,0.052,0.019,0.013,0.021,0.029,0.039,0.162,0.041,0.055,0.0,7.0,0,0,2.0,4.0,0.0,0.23,5.3,417.0,0.138,1.8,55.0,0.094,7.0,127.0,0.4,14.0,0.15
169823,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",American Indian/Alaska Native Foods,470.0,9.0,43.5,10.5,0,0,0,0,0,8.6,15.6,17.3,0,26.0,0,0,0,0,16.1,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,1.43,0,0,0,0,0,0,34.0,0,0,4.0,0,0,0.03,0.2,16.0,0,134.0,206.0,0,24.0,0.47
168976,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",American Indian/Alaska Native Foods,353.0,3.4,31.8,13.4,0.5,0,0,0,0,7.7,14.4,8.4,0,10.0,0,0,0,0,7.1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0.55,0.02,0.01,0,3.0,0,0,0,2.9,0,2.36,0,8.0,0.03,0.3,7.0,0.13,46.0,70.0,0,21.0,0.18
168977,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",American Indian/Alaska Native Foods,258.0,21.7,18.6,0.9,0,0,0,0,0,5.1,8.7,3.6,0,89.0,0,0,0,0,0.51,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.66,4.26,1.95,0.23,4.83,4.0,0,0,0,2.2,0,0,0,16.0,0.19,4.55,20.0,0.06,170.0,228.0,0,95.0,3.83
173191,"Alcoholic Beverage, wine, table, red, Barbera",Beverages,85.0,0.07,0.0,2.79,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
